date,open,high,low,close,volume
1980-12-02,0.0035,0.0036,0.0035,0.0035,30649
1980-12-03,0.0034,0.0034,0.0034,0.0034,7608
1980-12-04,0.0035,0.0035,0.0035,0.0035,6834
1980-12-05,0.0035,0.0035,0.0034,0.0034,2346
1980-12-08,0.0032,0.0032,0.0032,0.0032,1670
1980-12-09,0.0032,0.0032,0.0031,0.0031,1783
1980-12-10,0.003,0.003,0.0029,0.0029,1794
1980-12-11,0.0028,0.0028,0.0027,0.0027,1632
1980-12-12,0.0029,0.0029,0.0029,0.0029,2522
1980-12-15,0.003,0.003,0.003,0.003,2045
1980-12-16,0.003,0.003,0.0029,0.0029,2025
1980-12-17,0.0029,0.0029,0.0028,0.0028,1433
1980-12-18,0.0029,0.003,0.0029,0.0029,3480
1980-12-19,0.003,0.003,0.003,0.003,3089
1980-12-22,0.003,0.0031,0.003,0.003,571
1980-12-23,0.003,0.0031,0.003,0.003,1708
1980-12-24,0.0032,0.0033,0.0032,0.0032,754
1980-12-26,0.0032,0.0033,0.0032,0.0032,445
1980-12-29,0.0032,0.0033,0.0032,0.0032,537
1980-12-30,0.0032,0.0032,0.0032,0.0032,1315
1980-12-31,0.0032,0.0033,0.0032,0.0032,889
1981-01-02,0.0033,0.0034,0.0033,0.0033,483
1981-01-05,0.0034,0.0035,0.0034,0.0034,1770
1981-01-06,0.0034,0.0034,0.0034,0.0034,2100
1981-01-07,0.0032,0.0032,0.0032,0.0032,2653
1981-01-08,0.0032,0.0032,0.0032,0.0032,1019
1981-01-09,0.0031,0.0032,0.0031,0.0031,747
1981-01-12,0.0032,0.0033,0.0032,0.0032,1034
1981-01-13,0.0032,0.0033,0.0032,0.0032,1346
1981-01-14,0.0034,0.0035,0.0034,0.0034,2449
1981-01-15,0.0034,0.0034,0.0034,0.0034,779
1981-01-16,0.0034,0.0035,0.0034,0.0034,1029
1981-01-19,0.0034,0.0034,0.0034,0.0034,1246
1981-01-20,0.0033,0.0033,0.0032,0.0032,1056
1981-01-21,0.0032,0.0033,0.0032,0.0032,300
1981-01-22,0.0031,0.0031,0.003,0.003,395
1981-01-23,0.0031,0.0032,0.0031,0.0031,418
1981-01-26,0.0031,0.0031,0.003,0.003,338
1981-01-27,0.003,0.003,0.003,0.003,257
1981-01-28,0.003,0.003,0.003,0.003,349
1981-01-29,0.003,0.0031,0.003,0.003,756
1981-01-30,0.003,0.003,0.0029,0.0029,251
1981-02-02,0.003,0.003,0.0029,0.0029,637
1981-02-03,0.0029,0.003,0.0029,0.0029,352
1981-02-04,0.0029,0.003,0.0029,0.0029,637
1981-02-05,0.0029,0.0029,0.0029,0.0029,1168
1981-02-06,0.0029,0.003,0.0029,0.0029,366
1981-02-09,0.003,0.003,0.0029,0.0029,352
1981-02-10,0.0029,0.003,0.0029,0.0029,673
1981-02-11,0.0029,0.0029,0.0028,0.0028,385
1981-02-12,0.0028,0.0029,0.0028,0.0028,67
1981-02-13,0.0027,0.0028,0.0027,0.0027,277
1981-02-17,0.0027,0.0028,0.0027,0.0027,242
1981-02-18,0.0028,0.0029,0.0028,0.0028,667
1981-02-19,0.0029,0.003,0.0029,0.0029,575
1981-02-20,0.0029,0.003,0.0029,0.0029,475
1981-02-23,0.0029,0.003,0.0029,0.0029,166
1981-02-24,0.0029,0.003,0.0029,0.0029,614
1981-02-25,0.0029,0.003,0.0029,0.0029,164
1981-02-26,0.0029,0.003,0.0029,0.0029,255
1981-02-27,0.0029,0.003,0.0029,0.0029,228
1981-03-02,0.0029,0.003,0.0029,0.0029,270
1981-03-03,0.003,0.0031,0.003,0.003,1155
1981-03-04,0.003,0.003,0.003,0.003,762
1981-03-05,0.003,0.0031,0.003,0.003,213
